What,Prerequisites,
From Cinematic Space to Liquid Space in Architecture,"4º, 5º year in Architecture. Final years in ArchitectureStudents of Architecture, Urban Studies, Art, Cinema and Audiovisual Communication.Basic knowledge in any type of animation software and video edition.",
Analysing Environmental dynamics with Remote Sensing Time series,"Basic remote sensing class, some statistics backgroundRemote sensing course. Statistical course",
Virtual Models in Engineering - Introduction into Finite Elements,"Following this course requires having succesfully completed a first year course in linear algebra (thus being familiar with vector spaces and linear systems of equations, see e.g. David Lay,Linear Algebra and Its Applications); in calculus (thus being familiar with the differention and integration of functions of several variables and analytical methods for solving ordinary differential equations, see e.g. James Stewart,Calculus); and in numerical analysis (thus being familiar with numerical techniques for differentiation and integration of a function in one variable, see e.g. Richard Burden and Douglas Faires,Numerical Analysis). For this course a basic knowledge of English is indespensable.Student input: attendence of the lectures and completion of lab assigments",
Light & Lighting,"Only a basic training in engineering at the university level is required. To have a sufficient maturity to follow this course fruitfully, it is nevertheless required to be registered at least in the 3th university study year.",
Application of Ionizing Radiation,General knowledge of the interaction of ionizing radiation with matter is necessary,
Text Searching Algorithms,"Sets, relations, oriented graphs, finite automata, regular expressions.",
The PIV Method in Fluid Mechanics,General knowledge of fluid mechanics and thermodynamics and matlab.,
Introduction to Vibrational Spectroscopy,Basic knowledge of chemistry,
Modern Web Data Management,"Pre-requisites: Java programming, basic algorithmics, basic knowledge of Web technologies a plus.",
How Physics Inspires Science Fiction,"Understanding of the laws of physics, knowledge of basic equations (largely mechanics, thermodynamics on the level of introductory courses of technical/natural science studies)",
Operational Research,Basic knowledge of: Linear Algebra; Calculus; Probability & Statistics. Basic knowledge of Excel.,
e-lab - Remotely controlled physics laboratories,Physics or engineering degree students; the students should have completed courses on programming and general physics.,
Wind Energy,"Knowledge of fluid mechanics, structural mechanics, and electrical drives and generators",
Mission impossible: a cruise through safety engineering?,No special prerequisites. Normally any student from any 4th year of (bio)engineering onward should be able to participate without problem. The examples given during the course might however be of some more interest to mechanical and chemical engineering students than to those of other engineering disciplines.,
Industrial Dispersions,Introductory courses in physical chemistry and thermodynamics,
Mobile application development,"@font-face {   font-family: ""Cambria""; }p.MsoNormal, li.MsoNormal, div.MsoNormal { margin: 0cm 0cm 10pt; font-size: 12pt; font-family: ""Times New Roman""; }div.Section1 { page: Section1; }Since the students will develop their own mobile applications, it is",
Managing Communication in an International Context,Participants must have an advanced level of English (level 4 or C1 in the ALTE or Common European Framework of reference).,
Introduction à SystemC,"o Bases d’électronique :o logique combinatoire, logique synchrone, pipe-lineso machines à états finis,o connaissance d’un HDL (Verilog ou VHDL)o Bases d’architecture des processeurs :o ALU, cache, bus, hiérarchie mémoireo exécution des instructions, pipe-line",
International Management Communication,Initiation level in Economics and Management.,
"Scientific Research Method : Techniques, Models and Practices",General physics and mathematics.,
Emergence in complex systems,"Students who attend               this course will be fluent in               procedural object-oriented programming (Java, C++, Python               or equivalent). They               will get some knowledge of Python by themselves before the               Athens               week.",
Munich Carnival of Code (Agile Software Development Project),"Good knowledge of Java programming (J2EE) and reasonable basic knowledge of databases, SQL, Google Web Toolkit is required.Self-study before the course is recommended to aquire basic knowledge aboutGWT 2.4,Guava, Java Injection, Java Persistence API,GXT 3.0, Model View Controler Pattern,GWTP 0.7,Maven.Students must bring a laptop with their favorite programming environment / J2EE development infrastructure installed (e.g. Eclipse).",
Introduction into Finite Elements and Algorithms,"Following this course requires having succesfully completed a first year course in linear algebra(thus being familiar with vector spaces and linear systems of equations, see e.g. David Lay,LinearAlgebra and Its Applications); in calculus (thus being familiar with the differention and integration of functionsof several variables and analytical methods for solving ordinary differential equations, see e.g. JamesStewart,Calculus); and in numerical analysis (thus being familiar with numerical techniques for differentiationand integration of a function in one variable, see e.g. Richard Burden and Douglas Faires,NumericalAnalysis). For this course a basic knowledge of English is indespensable.Student input: attendence of the lectures and completion of lab assigments",
Architecture as Bottom-Up Urbanism. Urban transformations in the ‘post master plan’ era.,BSc in architecture or equivalent (3rdyear university education).,
Climate change and ethics,A BSc degree in physics or engineering,
Context sensitive Multi-modal Communication,"Students are assumed to have basic knowledge in signal processing, mathematics and programming. A completed BSc in Electrical Engineering, Informatics, Physics or related studies is more than sufficient. Experience in programming is recommended but not necessary.",
Multimedia Indexing and Retrieval,Basic knowledge on image and sound processing is required as well as notions about automatic classification.,
Metrology of Electrical Quantities,Basic courses of applied physics and electric circuit theory.,
Management and Economics of the Enterprise,Basic knowledge of enterprise management systems and tools.,
Non-contact techniques for material testing,Knowledge of general physics and mathematics,
Time discretization techniques for large ODE systems,"Good MATLAB skills, basic courses on Calculus, Numerical Methods and Ordinary Differential Equations",
Sustainable Low Energy Houses: Basics of Design,Basic knowledge about building technologies and building physics.,
(GIS) Geopraphic Information System,Basic knowledge in applied mathematics and digital design.,
Écologie et environnement,"Aucune connaissance particulière, mais une formation ou un intérêt pour les sciences de la nature peuvent être appréciables.Conditions spécifiques :Les frais de transport et de séjour (repas et deux nuits d'hôtel) s'élèvent à unecentaine d'eurospour le stage de terrain en Normandie (estuaire de la Seine) du jeudi 21 au samedi matin 23 mars 2012.",
"Health and Medicine : Social, Political, and Ethical Issues at National and European Levels","No prerequisites, except an interest in current debates and biomedecine",
Europe utile : une approche industrielle,"Aucune connaissance spécialisée particulièreUne intervention se déroulera en anglaisAttention, les frais de transport pour le déplacement à Bruxelles s'élèvent à environ 85 euros",
Stepping Twice in the Same River – Integrated Water Management,Clear understanding of minimally the hydrological cycle and if possible fluid mechanics is required.,
Physics and Mechanics of Random Media,Basic knowledge in   probability theory. Physics and Mechanics of solids,
Polymers and Composites (Properties and Durability),"The course is, indeed, an initiation to polymer science and application for students knowing a little about materials and the mechanics of materials.",
Acoustique du BTP,None.,
Introduction to Musculoskeletal and Osteoarticular Biomechanics,Basic knowledge in mechanics.,
Nonlinear Computational Mechanics,"It is mandatory to have a basic knowledge of linear algebra and calculus, and a basic knowledge in continuum mechanics (stress, strain, linear elasticity)Course is easier for students who have already attended a basic Finite Element course, and who have already manipulated a FE code (not required).Being curious about mechanical problems, having a good knowledge of plasticity theory would be a must, but is not really needed.A good practice of English speaking and reading is mandatory.The course will have a website, that will be updated one week before the course:http://mms2.ensmp.fr/msi_paris/accueil_msi_paris.phpStudents are also invited to navigate on:http://mms2.ensmp.fr/ef_paris/accueil_ef_paris.phpThis last link is a linear FE course (mostly in french). The part of the theory will be smaller in «nonlinear computational mechanics» than for this one.",
Structure-Property Relationships in Polymers,"No extensive background in macromolecular science is required. General ideas in the fields of polymer chemistry, chemical physics, mechanics and rheology are welcome, together with great inquisitiveness of mind.",
Sciences et Technologies en Sociétés,Connaissances scientifiques générales de base (niveau BAC+2),
Lisbon4K: Knowledge and cities by design – “Lisbon for knowledge”,Not applicable,
Quantum entanglement for communications: from theory to experiments,Maxwell equations,
Interactive Simulations -  A Rapid Prototyping Approach,"Basic knowledge of Linux / Windows operating system; good knowledge of C / C++; good knowledge of spoken / written English; adequate background (computer science, mathematics, physics, engineering, …) with strong interest in numerical simulation and visualisation",
Industrial Ecology – Making Sustainabilty Happen,,
Engineering Economics for Project Management,"None, but familiarity with Excel would be helpful",
Environmental and Economic Issues on Pulp and Paper Industry,Basic knowledge of economic and enviranmental issues.,
Computer Modelling for Electromagnetics: Visibility of the Invisible,"Physics – electrostatics and magnetostatics. Differential equations, vector calculus.",
Ethical Aspects of Research and Engineering,None,
Environmental and Economic Issues on Pulp and Paper Industry,Basic knowledge of economic and enviranmental issues.,
ANTENNA DESIGN AND MEASUREMENT TECHNIQUES,Basic knowledge of electromagnetic fields and signal processing issues.,
Industrial Uses of Aromatic and Medicinal Plants,None,
Smart and Accessible Homes,It isn’t necessary but recommended to have some knowledge in communication networks.,
Geointelligence for Natural Resource Evaluation and Sustainable Management,Previous knowledge of statistical decision analysis and basic project economics is appreciated but not required. Previous knowledge of Google Earth is appreciated but not required. Genuine interest for global economy and its effect on developing countries in mandatory,
“Analysis of academic and professional genres in engineering and architecture contexts,Undergraduate students from the fields specified in the title having a B2 level of English (as in the Common European Framework of Reference for Languages) and without research experience,
Negotiation,Good Level in English,
Introduction to Toxicology,Basic knowledge of chemistry,
Le langage C++,Quelques notions légères de programmation et d’informatique. Nous (re)verrons à la demande des élèves les différentes notions qui pourraient leur faire défaut.,
"Couleur, arts, industrie",Notions de base sur la lumière et les rayonnements,
Ingénierie du risque,"Ce cours s'adresse à toute personne intéressée par la question de la sécurité industrielle et désireuse de s'initier à un domaine qui tient une place prépondérante tant dans le monde de l'industrie, de l'entreprise que dans la vie de tous les jours. Il ne nécessite a priori aucun pré-requis. Il est accompagné d'un support de cours et d'une bibliographie.",
Logistique Urbaine,"Aucun, avoir des notions de logistique, de transport et de politique publique est un plus.",
Coastal Planning,"Engineer, Geographer, Architect, Urbanism, Anthropologist, Environmental, Photographer…",
"Algorithms for curves and surfaces, and its applications","Basic Knowledge of linear algebra, calculus and programming.",
